Longitude,Latitude,Battery_Level,Total Duration,Total Distance
-114.087835,51.0276233,100.0,0.0,0.0
-114.087847,51.027586,100.0,0.0,0.0
-114.087917,51.027598,99.99452197815646,45.981,51.382
-114.087804,51.02585,99.99611536671229,73.437,247.163
-114.089689,51.025951,99.9383079345429,92.02,389.358
-114.094703,51.027685,99.85157858595542,142.789,812.0930000000001
-114.083646,51.108532,98.33535000830149,1138.891,10097.181
-114.045017,51.110532,98.76674221151949,1479.877,13006.445
-114.024846,51.94367,77.90541815333943,4760.710999999999,107242.609
-113.814262,52.121477,72.63713658849538,5578.249,131847.849
-113.860716,52.324595,67.73849229480989,6398.21,155750.24899999998
-113.66298,52.554494,61.039970411276045,7421.196,186472.224
-113.492881,53.425177,39.45953289369176,10747.512999999999,285930.997
-113.492473,53.430194,39.4855844764597,10769.422999999999,286490.43899999995
-113.654005,53.474998,36.65034886043124,11294.374,300341.80399999995
-113.660538,53.566066,34.62235825931208,11676.982,310558.9529999999
-113.660565,53.567523,34.66785621347607,11683.777,310722.4359999999
-113.800106,53.570157,32.66576916715323,12091.364,321273.44599999994
-113.807423,53.571245,32.591992714072184,12110.527,321778.55899999995
-113.808968,53.657953,30.574489483056087,12491.305,331638.008
-113.850683,54.355117,16.32313062924083,15725.359,410290.414
-114.102833,54.553467,12.175131772777629,17117.885000000002,438967.855
-114.059815,55.055536,2.035693655173162,19538.624000000003,496269.488
-114.058982,55.192335,-0.8506625576486861,20520.295000000002,514592.86100000003
-113.973663,55.518462,-7.3251765222843375,24805.475000000002,556179.349
-114.070289,55.499097,-7.208013062863187,25241.587000000003,562759.876
-114.069428,55.512165,-7.572588532388222,25399.147000000004,564359.638
-114.087835,55.520338992552155,-7.572588532388222,25399.147000000004,564359.638
-114.087835,51.0276233,100.0,0.0,0.0
-114.087847,51.027586,100.0,0.0,0.0
-114.087917,51.027598,99.99452197815646,45.981,51.382
-114.087804,51.02585,99.99611536671229,73.437,247.163
-114.089689,51.025951,99.9383079345429,92.02,389.358
-114.094703,51.027685,99.85157858595542,142.789,812.0930000000001
-114.083646,51.108532,98.33535000830149,1138.891,10097.181
-114.045017,51.110532,98.76674221151949,1479.877,13006.445
-114.024846,51.94367,77.90541815333943,4760.710999999999,107242.609
-113.814262,52.121477,72.63713658849538,5578.249,131847.849
-113.860716,52.324595,67.73849229480989,6398.21,155750.24899999998
-113.66298,52.554494,61.039970411276045,7421.196,186472.224
-113.492881,53.425177,39.45953289369176,10747.512999999999,285930.997
-113.492473,53.430194,39.4855844764597,10769.422999999999,286490.43899999995
-113.472497,53.437071,39.26074054198215,10841.697999999999,288222.66299999994
-113.351948,53.445034,37.007280425691775,11145.135999999999,296518.96199999994
-113.374155,53.62687,33.27459909398066,11903.698999999999,317466.65699999995
-113.383221,53.632258,33.25464837068389,11945.46,318315.42999999993
-113.318132,53.685594,31.639390517722692,12286.043,326581.65599999996
-113.320467,53.919533,26.717946916440766,13352.247,352690.23
-113.025328,54.036602,21.00385753603757,14384.322,380729.804
-112.95459,54.580545,8.806488318498142,16762.991,443670.511
-112.804407,54.594498,6.539387809043411,17164.354000000003,453991.17
-112.783635,54.810803,2.1947932714208838,18088.564000000002,478341.51399999997
-112.344514,54.820154,-3.104280136871587,19331.532000000003,506980.512
-112.342713,54.934919,-4.5230271861255,20056.914000000004,520176.149
-112.192013,54.994947,-5.938453060019892,20849.944000000003,532914.184
-112.189691,55.025339,-6.335891557419237,21230.909000000003,536376.751
-111.975555,55.05387,-8.206929225127137,22625.245000000003,550871.792
-111.968557,55.292871,-11.885967984740336,27268.363000000005,583284.233
-111.988614,55.300214,-12.136526846640761,27549.883000000005,584838.25
-112.04943765669529,55.35090459991658,-12.136526846640761,27549.883000000005,584838.25
-114.087835,51.0276233,100.0,0.0,0.0
-114.087847,51.027586,100.0,0.0,0.0
-114.087917,51.027598,99.99452197815646,45.981,51.382
-114.087804,51.02585,99.99611536671229,73.437,247.163
-114.089689,51.025951,99.9383079345429,92.02,389.358
-114.094703,51.027685,99.85157858595542,142.789,812.0930000000001
-114.083646,51.108532,98.33535000830149,1138.891,10097.181
-114.045017,51.110532,98.76674221151949,1479.877,13006.445
-114.00074,51.174183,96.826210304332,1857.661,21198.826999999997
-114.024846,51.94367,77.70885274559603,4761.827,107242.60800000001
-113.814262,52.121477,72.46857705182583,5579.365,131847.848
-113.860716,52.324595,67.57162847347882,6399.514999999999,155750.248
-113.817049,52.430942,64.90783857864301,6818.143999999999,168252.01499999998
-113.66298,52.554494,60.86911019130719,7422.500999999999,186472.22199999998
-113.642843,52.997736,49.56826267478282,9051.395999999999,236042.292
-113.492881,53.425177,39.279778974441854,10747.124999999998,285930.999
-113.492473,53.430194,39.29325588761854,10769.034999999998,286490.441
-113.472497,53.437071,39.068411953140995,10841.309999999998,288222.665
-113.351948,53.445034,36.81495183685062,11144.747999999998,296518.964
-113.374155,53.62687,33.082270505139505,11903.310999999998,317466.659
-113.383221,53.632258,33.06186478594245,11945.022999999997,318315.432
-113.318132,53.685594,31.401337782167996,12278.981999999998,326581.658
-113.317787,53.922149,26.33700296686514,13342.266999999998,353030.937
-113.152276,53.950362,23.989671667848405,13784.002999999999,365098.022
-113.133213,54.019436,22.319483561472232,14085.670999999998,373355.761
-112.801592,54.098868,17.912466421652546,15054.809999999998,397270.657
-111.571121,54.123907,3.748357823227467,18865.886,481583.36
-111.4053,54.180253,1.2539386481727366,19399.130999999998,494538.682
-110.859376,54.180777,-4.402697480100295,20955.806999999997,530488.639
